col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,target
1,50,1,57,7,0,7,0,2,142,21,1
2,37,1,38,26,7,11,2,0,465,23,1
3,29,1,27,18,2,12,2,1,679,27,0
4,47,1,51,7,1,4,0,1,916,5,0
5,18,0,1,14,3,0,1,0,195,1,1
6,43,1,44,5,4,0,2,1,313,13,1
7,20,1,3,20,4,28,2,0,911,26,1
8,57,1,1,2,9,30,2,2,691,19,1
9,61,0,42,23,7,25,2,2,304,7,1
10,28,1,9,21,2,13,0,1,800,18,0
11,44,1,38,6,2,15,0,0,860,22,0
12,43,1,53,29,4,12,2,1,651,18,0
13,49,1,16,28,1,2,0,1,895,5,0
14,31,1,44,29,0,27,0,0,563,30,1
15,19,0,14,23,10,30,2,1,946,16,1
16,45,1,32,8,8,6,0,0,270,1,1
17,49,0,28,8,9,25,1,1,422,18,1
18,37,1,52,8,0,17,2,0,750,7,0
19,35,0,52,5,3,1,0,1,663,9,0
20,34,1,29,12,2,10,1,0,504,6,0
21,57,1,43,5,5,21,0,1,168,19,1
22,46,1,42,14,0,5,1,2,145,28,1
23,44,1,37,20,1,7,2,1,644,30,0
24,50,1,48,18,4,9,1,1,601,1,0
25,61,0,29,1,8,1,1,2,486,29,1
26,44,0,17,15,9,18,2,1,261,26,1
27,33,1,44,5,0,9,1,1,779,28,0
28,50,0,49,9,4,10,1,0,305,20,1
29,42,1,27,25,4,3,2,1,659,21,0
30,40,0,30,15,10,4,0,2,724,6,1
31,24,1,39,2,1,6,2,1,595,17,0
32,36,1,35,21,1,14,1,0,811,4,0
33,41,1,8,16,1,8,1,1,910,2,0
34,50,0,44,19,2,2,2,0,684,16,1
35,24,0,28,18,1,2,0,0,748,7,0
36,30,0,15,30,0,1,0,1,613,10,0
37,49,1,31,6,1,1,0,1,805,21,0
38,28,1,50,29,2,12,2,0,575,5,0
39,58,0,40,25,6,17,2,0,960,5,1
40,20,0,44,4,4,26,0,2,792,10,1
41,36,0,2,11,5,28,2,2,178,22,1
42,40,0,8,25,3,1,1,0,561,9,0
43,65,1,29,11,1,18,1,1,592,28,1
44,32,1,19,12,0,3,2,1,855,19,0
45,28,1,13,17,0,10,2,0,919,11,0
46,59,1,47,15,3,25,1,2,324,20,1
47,51,1,9,26,10,18,0,2,898,2,1
48,46,0,51,24,5,21,0,1,878,7,1
49,63,1,28,17,8,1,2,0,117,1,1
50,57,0,28,1,5,18,2,0,796,6,1
51,37,1,36,23,6,28,1,0,724,12,1
52,40,1,33,15,3,19,2,1,814,9,0
53,25,0,21,19,2,25,2,0,940,7,1
54,42,1,60,23,4,5,2,0,526,2,0
55,37,0,54,18,6,4,1,0,720,24,1
